question,option1,option2,option3,option4,year,level,shift,answer,topic,subtopic
"If $$2 \cos^2 \theta - 5 \cos \theta + 2 = 0, 0^\circ < \theta < 90^\circ$$, then the value of $$(\sec \theta + \tan \theta)$$ is:",$$2 + \sqrt{3}$$,$$1 - \sqrt{3}$$,$$1 + \sqrt{3}$$,$$2 - \sqrt{3}$$,2021,E,20th August Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
The volume of a wall whose height is 10 times its width and whose length is 8 times its height is 51.2 m$$^3$$ . What is the cost(in ₹) of painting the wall on one side at the rate of ₹100/ m$$^2$$ ?,12800,12750,12250,12500,2021,M,20th August Shift 2,A,Mensuration,Solid Figures
"The present population of a village is 15280. If the number of males increases by 25% and the number of females increases by 15%, then the population will become 18428. The difference between present population of males and females in the village is:",1840,920,2760,1380,2021,E,20th August Shift 2,A,Arithmetic,Percentage
What is the constant term in the expansion of $$\left(5x^2 - \frac{1}{x}\right)^3 ?$$,15,5,75,-15,2021,E,18th August Shift 2,A,Algebra,Identities
"If $$x^2 - 5\sqrt{2}x + 1 = 0$$, then what is the value of $$\frac{\left(x^3 + \frac{1}{x}\right)}{x^2 + 1} ?$$",$$\frac{24\sqrt{2}}{5}$$,$$\frac{12\sqrt{2}}{5}$$,$$\frac{18\sqrt{2}}{5}$$,$$\frac{26\sqrt{2}}{5}$$,2021,E,18th August Shift 2,A,Algebra,Identities
"A sum of ₹3125 amounts to 3515.20 in 3 years at x %p.a., interest being compounded yearly. What will be the simple interest (in ₹) on the same sum and for the same time at (x + 2) %p.a.?",562.5,554,550,565.5,2021,E,18th August Shift 2,A,Arithmetic,SI & CI
"If $$5 \sin^2 \theta - 4 \cos \theta - 4 = 0, 0^\circ < \theta < 90^\circ$$, then the value of $$(\cot \theta + cosec \theta)$$ is:",$$\frac{\sqrt{6}}{2}$$,$$\frac{\sqrt{6}}{3}$$,$$\frac{3}{2}$$,$$\frac{2}{3}$$,2021,E,18th August Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
In a class the ratio of rural to urban students is 4 : 7. In an examination the average percentage marks of the rural and the urban studentsare respectively 65 and 63. What is the overall average percentage marks of the class (correct to two decimal places)?,63.73%,65.87%,64.37%,73.63%,2021,H,17th August Shift 2,A,Arithmetic,Average
"If $$x^2 - \sqrt{11}x + 1 = 0$$, then $$(x^3 + x^{-3}) =$$",$$8\sqrt{11}$$,$$10\sqrt{11}$$,$$4\sqrt{11}$$,$$7\sqrt{11}$$,2021,E,17th August Shift 2,A,Algebra,Identities
"Rajan spent 10% of his salary on rent. He spent 20%of the remaining part of the salary on transport. After which he spent 40°of the balance of the salary on food. Further, he spent 80% of the balance on variousbills. He deposits ₹5000 in the bank andkept the remaining ₹1480 for his own petty expenditure. Find his monthly salary (in ₹).",75000,80000,64800,82500,2021,M,17th August Shift 2,A,Arithmetic,Percentage
"The given Pie-Chart shows the degree wise breakup of expenditure of a family in a month. Total income of a family is ₹43200.
https://media-cdn.cracku.in/uploads/Screenshot_182_zyCj6O6.png                                                                                                                                                              The amount spent on food is what percent of the savings and miscellaneous expenses?",84%,60%,75%,90%,2021,E,17th August Shift 2,A,Data Interpretation,Pie Chart
"A shopkeeper bought 20 kg of sugar at ₹45 per Kg, 25 kg of sugar at ₹50 per kg and 35 kg of sugar at ₹40 per kg. He spent a sum of ₹450 ontransportation and other expenses. He mixed all the three types of sugar andsold all the stock at ₹52.50 per kg. His profit percentin the entire transaction is:",5%,4.25%,6.50%,7.25%,2021,E,17th August Shift 2,A,Arithmetic,Profit & Loss
"A customer wanted to purchase an item marked for ₹10000. Shopkeeper offered two types of discounts, 25% flat discount or successive discounts of 14% and 12%. Which is the better offer for the customers and by how much?",first offer by ₹68,second offer by ₹68,first offer by ₹32,second offer by ₹100,2021,M,24th August Shift 1,A,Arithmetic,Discount
The area of a table top in the shape of an equilateral triangle is $$9\sqrt{3}$$ cm$$^2$$. What is the length (in cm) of each side of the table?,6,2,4,3,2021,E,24th August Shift 1,A,Mensuration,Plane Figures
"The total number of students in a school is 1400, out of which 35% of the students are girls and the rest are boys. If 80% of the boys and 90% of the girls passed in an annual examination, then the percentage of the students who failed is:",16.5,21.5,17.4,15.8,2021,E,24th August Shift 1,A,Arithmetic,Percentage
"If $$x + \frac{1}{x} = 7$$, then $$x^2 + \frac{1}{x^2}$$ is equal to:",47,49,61,51,2021,M,24th August Shift 1,A,Algebra,Identities
The value of $$3\frac{1}{5} \div 4\frac{1}{2}  \text{of}   5\frac{1}{3} - \frac{1}{8} \div \frac{1}{2}  \text{of}   \frac{1}{4} + \frac{1}{4}\left(\frac{1}{2} \div \frac{1}{8} \times \frac{1}{4}\right)$$ is:,$$-\frac{37}{60}$$,$$-\frac{17}{60}$$,$$\frac{17}{60}$$,$$\frac{37}{60}$$,2021,E,24th August Shift 1,A,Arithmetic,Simplification
"If $$8 + 2px^2 - 36x - 27^3 = (2 - 3x)^3$$, then what is the value of p?",27,54,9,-27,2021,E,23rd August Shift 1,A,Algebra,Identities
"Pipes A and B can fill a tank in 12 hours and 16 hours respectively and pipe C can empty the full tank in 24 hours. All three pipes are opened together, but after 4 hours pipe B is closed. In how manyhours, the empty tank will be completely filled?",18,32,28,14,2021,E,23rd August Shift 1,A,Arithmetic,Pipes & Cistern
"Fourth proportion to 12, 18, 6 is equal to the third proportion to 4, k. What is the value of k?",6,$$4\sqrt{3}$$,6.5,4,2021,E,23rd August Shift 1,A,Arithmetic,Ratio & Proportion
"If $$\sin^2 \theta - \cos^2 \theta - 3 \sin \theta + 2 = 0, 0^\circ < \theta < 90^\circ$$, then what is the value of $$\frac{1}{\sqrt{\sec \theta - \tan \theta}}$$ is:",$$\sqrt[4]{3}$$,$$\sqrt[2]{2}$$,$$\sqrt[2]{3}$$,$$\sqrt[4]{2}$$,2021,E,23rd August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
Find the value of $$\frac{\tan^2 30^\circ}{\sec^2 30^\circ} + \frac{cosec^2 45^\circ}{\cot^2 45^\circ} - \frac{\sec^2 60^\circ}{cosec^2 60^\circ}$$,$$-\frac{3}{4}$$,$$\frac{5}{4}$$,$$\frac{13}{4}$$,$$\frac{23}{12}$$,2021,E,23rd August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"In an examination, the average score of a student was 67.6. If he would have got 27 more marks in Mathematics, 10 more marks in Computer Science, 18 more marks in History and retained the same marks in other subjects, then his average score would have been 72.6. How may papers were there in the examination?",11,10,12,9,2021,E,23rd August Shift 1,A,Arithmetic,Average
Simplify the following expression:$$7 \times 4 \div 21  \text{of}   4 - 5 \div 4 \times (9 - 13) + 2 - 2 \div 8$$,$$7\frac{1}{12}$$,$$5\frac{1}{3}$$,$$12\frac{1}{2}$$,$$5\frac{1}{16}$$,2021,E,23rd August Shift 1,A,Arithmetic,Simplification
"Table shows income(in Rs) received by 4 employees of a company during the month of December 2020 and the income sources.
https://media-cdn.cracku.in/uploads/Screenshot_406_uIOBRxL.png                                                                                                                                                          Whose income from all sources except salary is more than 25% of his salary?",Amit and Nitin,Varun,Amit,None,2021,E,23rd August Shift 1,A,Data Interpretation,Tables
The area of a square shaped field is 1764 m$$^2$$. The breadth of a rectangular park is $$\frac{1}{6}$$th of the side of the square field and the length is four times its breadth. What is the cost (in ₹) of levelling the park at ₹30 per m$$^2$$ ?,5880,4768,2940,6342,2021,E,23rd August Shift 1,A,Mensuration,Plane Figures
"A circle is inscribed in a quadrilateral ABCD, touching sides AB, BC CD and DA at P, Q, R and S,respectively. If AS = 6cm, BC = 12 cm, and CR =5 cm,then the length ofAB (in cm) is:",13,11,15,12,2021,M,23rd August Shift 1,A,Geometry,"Circles,Chords & Tangents"
"If x is a real quantity, what is the minimum value of $$(25 \cos^2 x + 9 \sec^2 x)$$",30,20,15,40,2021,E,23rd August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"A boat covers a round trip journey between two points A and B ina river in T hours.If its speed in still water becomes 2 times, it would take $$\frac{80}{161}T$$ hours for the same journey. Find the ratio of its speed in still water to the speed of the river.",11:01,161:40:00,01:11,02:01,2021,M,23rd August Shift 1,A,Arithmetic,Boats & Streams
"The ratio of two numbers A and B is 5 : 8. If 5 is added to each of A and B, then the ratio becomes 2 : 3. The difference in A and B is:",15,20,12,10,2021,E,20th August Shift 1,A,Arithmetic,Ratio & Proportion
"If $$\sec(5 \alpha - 15^\circ) = cosec(15^\circ - 2 \alpha)$$, then the value of $$\cos \alpha + \sin 2 \alpha + \tan(1.5 \alpha)$$ is:",$$\sqrt{3} + 1$$,$$\sqrt{2} - 1$$,$$\sqrt{3} - 1$$,$$\sqrt{2} + 1$$,2021,E,20th August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"Fourteen persons can do a work in 18 days. After 5 days of work, 6 workers left the work, and joined back onthe last day of the work. In how many days the work got completed?",27,24,12,21,2021,E,20th August Shift 1,A,Arithmetic,Time & Work
What is the value of k such that number 72k460k is divisible by 6?,4,7,9,8,2021,E,20th August Shift 1,A,Arithmetic,Divisibility & Remainder
The average of squares of five consecutive odd natural numbers is 233. What is the average of the largest number and the smallest number?,15,17,11,13,2021,E,20th August Shift 1,A,Arithmetic,Average
Simplify $$(x - y + z)^2 - (x - y - z)^2$$.,$$4xz - 4yz$$,$$2xz + 2yz$$,$$4yz - 4xz$$,$$4xz + 4yz$$,2021,E,20th August Shift 1,A,Algebra,Identities
Simplify the following expression:$$3\times8\div9  \text{of}  6-2\div3\times(5-2)\times2+18\div3  \text{of}  3$$,$$-1\frac{5}{9}$$,$$2\frac{12}{13}$$,$$-4$$,$$2\frac{1}{3}$$,2021,E,20th August Shift 1,A,Arithmetic,Simplification
"Triangle ABC is an equilateral triangle. D and E are points on AB and AC respectively such that DE is parallel to BC and is equal to half the length of BC. If AD + CE + BC = 30 cm, then find the perimeter (in cm) of the quadrilateral BCED.",37.5,25,45,35,2021,M,20th August Shift 1,A,Geometry,Congruence and Similarity of Triangles
The area of a quadrant of a circle is $$\frac{\pi}{9}$$ m$$^2$$. Its radius (in metres) is equal to:,$$\frac{2}{3}$$,$$\frac{1}{3}$$,$$\frac{1}{2}$$,$$\frac{3}{2}$$,2021,E,20th August Shift 1,A,Mensuration,Plane Figures
"Chord AB of circle of radius 10 cm is at a distance 8 cm from the centre O. If tangents drawn at A and B intersect at P, then the length of the tangent AP (in cm) is:",7.5,4,3.75,15,2021,E,18th August Shift 1,A,Geometry,"Circles,Chords & Tangents"
"The following Bar Graphs represent the Export of Tea (in lakh tonnes) by two companies A and B during the years 2010 to 2015.
Study the chart and answer the question written below:
(Note: The data shown below is only for mathematical exercise. They do not represent the actual figures).
https://media-cdn.cracku.in/uploads/Screenshot_240_CNzDv7Z.png                                                                                                                                                                        What is the ratio of the total exports of company B in 2011 and 2014 to the total exports of company A in 2012 and 2015?",55:68,68:55:00,29:37:00,37:29:00,2021,H,18th August Shift 1,A,Data Interpretation,Bar Graph
"If $$x + y = 3$$ and $$\frac{1}{x} + \frac{1}{y} = -\frac{3}{10}$$, then the value of $$(x^2 + y^2)$$ is:",29,28,26,34,2021,E,18th August Shift 1,A,Algebra,Identities
"A and B together can complete a certain work in 20 days whereas B and C together can complete it in 24 days. If A is twice as good a work man as C, then in what time will B alone do 40% of the same work?",12 days,15 days,18 days,10 days,2021,E,18th August Shift 1,A,Arithmetic,Time & Work
"What is the difference (in ₹) between the simple interest and the compound interest on a sum of ₹8000 for $$2\frac{2}{5}$$ years at the rate of 10% p.a., when the interest is compounded yearly?",147.2,152.8,155,150,2021,M,18th August Shift 1,A,Arithmetic,SI & CI
"A trader sells an article at 16% below its cost price. Had he sold it for ₹192.20 more, he would have gained 15%. The cost price (in ₹)of the article is:",620,680,720,640,2021,M,18th August Shift 1,A,Arithmetic,Profit & Loss
The perimeter of a semi-circle is 25.7 cm. What is its diameter (in cm)? $$(\pi = 3.14)$$,10,9,12,8,2021,E,18th August Shift 1,A,Mensuration,Plane Figures
A shopkeeper marked every item 25%abovethe cost price and allowed 10% discount. Shruti being a regular customer got 5% additional discount onthe bill and paid ₹2394 for the item purchased. What is the cost price of the item (in ₹)?,2240,2440,2220,2420,2021,H,18th August Shift 1,A,Arithmetic,Discount
Find the value of $$\sin^4 30^\circ + \cos^4 30^\circ - \sin 25^\circ \cos 65^\circ - \sin 65^\circ \cos 25^\circ$$,$$-\frac{3}{8}$$,0,$$\frac{5}{8}$$,$$\frac{13}{8}$$,2021,E,18th August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
The value of $$18 \div [26 - \left\{25 - (15 - 5) \div 2\right\}]  of  12 + 2 - 2 \div 4 \times 16$$ is:,$$-\frac{23}{4}$$,$$\frac{3}{2}$$,$$\frac{9}{4}$$,$$-\frac{25}{2}$$,2021,E,18th August Shift 1,A,Arithmetic,Simplification
"In $$\triangle ABC, D$$ and E are the points on sides AB and AC, respectively and $$DE \parallel BC$$. BC = 8 cm and DE = 5 cm. If the area of $$\triangle ADE = 45  cm^2$$, then what is the area (in cm$$^2$$) of $$\triangle ABC$$?",115.2,105.2,125,64,2021,M,17th August Shift 1,A,Mensuration,Plane Figures
"Asum of ₹ 31866 is divided between A, B and C such that the ratio of shares of A and B is 9 : 8 and that of A and C is 4 : 5, The share (in ₹) of B is:",9024,12690,10152,8460,2021,H,17th August Shift 1,A,Arithmetic,Ratio & Proportion
"A certain sum becomes ₹13650 at 15% p.a. simple interest after 2 years. What will be the amount(in ₹) of the same sum after 1 year at the same rate of interest, if the interest is compounded half yearly? (nearest to a ₹)",12134,10500,13625,11000,2021,H,17th August Shift 1,A,Arithmetic,SI & CI
"The marked price ofan article is ₹1500. A shopkeeper sells it by giving 20% discount on its marked price.If the cost price of the article is ₹991, then his profit(in ₹) is:",209,319,229,189,2021,E,17th August Shift 1,A,Arithmetic,Discount
"$$(\sqrt{\sec^2 \theta + cosec^2 \theta})\left(\frac{\sin \theta(1 + \cos \theta)}{1 + \cos \theta - \sin^2 \theta}\right), 0^\circ < \theta < 90^\circ$$ is equal to:",$$\sec^2 \theta$$,$$cosec^2 \theta$$,$$\cot \theta$$,$$\tan \theta$$,2021,E,17th August Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"The average of 8 consecutive even numbers written in ascending order is 17. What is the average of the last three numbers, 36 and 53?",31,32.2,31.6,29.8,2021,E,17th August Shift 1,A,Arithmetic,Average
"The data given in the table shows the number of students studying in four different disciplines in 5 institutes. Study the table and answer the question:
https://media-cdn.cracku.in/uploads/Screenshot_153_5ZdkHyD.png                                                                                                                                                                By what percent is the number of students studying Computer Science in institutes A and B more than the number of students studying Arts in institutes B and C?",5,14,2,24,2021,E,17th August Shift 1,A,Data Interpretation,Tables
"If $$a^2 + c^2 + 17 = 2(a - 8b - 2b^2)$$, then what is the value of $$(a^3 + b^3 + c^3)$$?",-7,9,10,-4,2021,E,17th August Shift 1,A,Algebra,Identities
"If $$\cos(A - B) = \frac{\sqrt{3}}{2}$$ and $$\cot(A + B) = \frac{1}{\sqrt{3}}$$ Where A - B and A + B are acute angles, then (2A - 3B) is equal to:",$$45^\circ$$,$$30^\circ$$,$$15^\circ$$,$$60^\circ$$,2021,E,17th August Shift 1,A,Algebra,Identities
"If $$\frac{\sin\theta+\cos\theta}{\sin\theta-\cos\theta}=5$$, then the value of $$\frac{4\sin^2\theta+3}{2\cos^2\theta+2}$$ is:",$$\frac{75}{17}$$,$$\frac{75}{34}$$,$$\frac{1}{2}$$,$$\frac{3}{2}$$,2021,E,24th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"In a circle with centre O, points A, B, C and D in this order are concyclic such that BD is a diameter of the circle. If $$\angle$$BAC = 22$$^\circ$$, then find the measure (in degrees) of $$\angle$$COD.",79,136,158,68,2021,M,24th August Shift 3,B,Geometry,"Circles,Chords & Tangents"
"Simplify: $$\frac{(\sin \theta + \sec \theta)^2 + (\cos \theta + cosec \theta)^2}{(1 + \sec \theta cosec \theta)^2}, 0^\circ < \theta < 90^\circ$$",0,1,-1,2,2021,E,24th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"Triangle ABC is right angled at B and D is a point of BC such that BD = 5 cm, AD = 13 cm and AC = 37 cm. then find the length of DC in cm.",25,30,5,35,2021,E,24th August Shift 3,B,Mensuration,Plane Figures
"If a nine-digit number 7698x138y is divisible by 72, then the value of $$\sqrt{4x + y}$$ is:",8,6,9,5,2021,E,24th August Shift 3,B,Arithmetic,Divisibility & Remainder
"A shopkeeper sold an article for ₹455 at a loss (in ₹). If he sells it for ₹490, then he would gain an amount four times the loss. At what price (in ₹) should he sell the article to gain 25%?",575,577.5,570.5,115.5,2021,E,24th August Shift 3,B,Arithmetic,Profit & Loss
What is the average of numbers from 1 to 50 which are multiples of 2 or 5? (correct to one decimal place),25.9,25.8,25.4,26.4,2021,E,24th August Shift 3,B,Arithmetic,Average
The surface area of a cube is 13.5 m$$^2$$. What is the length (in m) of its diagonal?,$$2\sqrt{3}$$,$$1.5\sqrt{3}$$,1.5,2,2021,E,24th August Shift 3,B,Mensuration,Solid Figures
"What is the difference between the compound interest (in ₹) compounded yearly and compounded half yearly for 18 months at 20% per annum on a sum of ₹12,000?",121,132,145,165,2021,E,24th August Shift 3,B,Arithmetic,SI & CI
"If $$\frac{1}{1 - \sin \theta} + \frac{1}{1 + \sin \theta} = 4 \sec \theta, 0^\circ < \theta < 90^\circ$$, then the value of $$\cot\theta+\operatorname{cosec}\theta$$ is:",$$\frac{4\sqrt{3}}{3}$$,$$\sqrt{3}$$,$$\frac{5\sqrt{3}}{3}$$,$$3\sqrt{3}$$,2021,E,23rd August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"Triangles ABC and DBC are right angled triangles with common hypotenuse BC. BD and AC intersect at P when produced. If PA= 8 cm, PC = 4 cm and PD = 3.2 cm, then the length of BD,in cm, is:",5.6,6.8,7.2,6.4,2021,M,23rd August Shift 3,B,Mensuration,Plane Figures
"If $$x + y + z = 2, x^3 + y^3 + z^3 - 3xyz = 74$$, then $$(x^2 + y^2 + z^2)$$ is equal to:",24,26,29,22,2021,E,23rd August Shift 3,B,Algebra,Identities
"In triangle PQR, points E and F are on sides PQ and PR respectively such that EF is parallel to QR. If PE = 2 cm and EQ = 3 cm, then area($$\triangle$$ PQR) : area($$\triangle$$ PEF) is equal to:",03:02,25:04:00,05:02,09:04,2021,M,20th August Shift 3,B,Geometry,Congruence and Similarity of Triangles
"The data given in the table shows the number of boys and girls enrolled in three different streams in a school over 5 years.
https://media-cdn.cracku.in/uploads/Screenshot_121_wUabIDy.png                                                                                                                                                                By what percent is the total number of boys in Arts stream more than the total number of boys in Science stream in the years 2012 to 2020?",5,$$4\frac{16}{21}$$,0,$$4\frac{18}{41}$$,2021,M,16th August Shift 3,A,Data Interpretation,Tables
A certain sum amounts to ₹291600 in 2 years and to ₹314928 in 3 years on compound interest compounded annually. How much will be the simple interest (in ₹) on ₹40000 at the same rate for 2 years?,6400,8000,7500,9600,2021,M,16th August Shift 3,A,Arithmetic,SI & CI
"If $$x + y = 2$$ and $$\frac{1}{x} + \frac{1}{y} = \frac{18}{5}$$, then the value of $$(x^3 + y^3)$$ is:",$$4\frac{2}{3}$$,$$4\frac{3}{5}$$,$$3\frac{1}{5}$$,$$3\frac{1}{3}$$,2021,E,16th August Shift 3,A,Algebra,Identities
"$$\triangle ABC$$ is incribed in a circle with center O, such that $$\angle ACB = 115^\circ$$. O is joined to A. What is the measure of $$\angle OAB$$?",$$25^\circ$$,$$20\circ$$,$$35^\circ$$,$$30^\circ$$,2021,M,16th August Shift 3,A,Geometry,"Circles,Chords & Tangents"
"A and B can complete a work in 15 days and 10 days respectively. They started doing the work together but after 4 days B had to leave. Then A working with a new worker C completed the remaining work in 3 days. If C works alone, in how many days he can do 40% of the same work?",9,$$8\frac{1}{2}$$,8,10,2021,E,16th August Shift 2,A,Arithmetic,Time & Work
$$\frac{\cot^3 \theta}{cosec^2 \theta} + \frac{\tan^3 \theta}{\sec^2 \theta} + 2\sin \theta \cos \theta = ?$$,$$cosec \theta \sec \theta$$,$$\sin \theta \cos \theta$$,$$cosec^2 \theta \sec^2 \theta$$,$$\sin^2 \theta \cos \theta$$,2021,E,16th August Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
What is the ratio of the average of first eight prime numbers to the average of first ten even natural numbers?,07:08,01:07,0.347222222,0.381944444,2021,H,16th August Shift 2,A,Arithmetic,Average
A heap of wheat is in the form of a cone whose base diameter is 8.4 m and height is 1.75 m. The heap is to be covered by canvass. What is the area (in m$$^2$$ ) of the canvas required?(Use $$\pi = \frac{22}{7}$$),60.06,60.6,115.05,115.5,2021,H,16th August Shift 2,A,Mensuration,Solid Figures
"If $$2 \sin (3x - 15)^\circ = 1, 0^\circ < (3x - 15) < 90^\circ$$, then find the value of $$\cos^2 (2x + 15)^\circ + \cot^2 (x + 15)^\circ$$.",$$\frac{7}{2}$$,$$1$$,$$-\frac{7}{2}$$,$$\frac{5}{2}$$,2021,E,16th August Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"Table shows the number of trees planted in 4 cities from 2016 to 2020.
https://media-cdn.cracku.in/uploads/Screenshot_50_absoZ7q.png                                                                                                                                                                      From 2016 to 2020, how many more trees were planted in Ahmedabad as compared to trees planted in Pune?",1860,1850,2000,2340,2021,M,16th August Shift 1,A,Data Interpretation,Tables
"A sum of ₹7500 amounts to ₹9075 at 10% p.a, interest being compounded yearly in a certain time. The simple interest (in ₹) on the same sum for the same time and the same rate is:",1500,1520,1480,1530,2021,M,16th August Shift 1,A,Arithmetic,SI & CI
"In $$\triangle ABC, DE \parallel AB$$, where D and E are the points on sides AC and BC, respectively. If AD = x-3, AC = 2x, BE = x-2 and BC = 2x + 3, then what is the value of x?",10,9,12,8,2021,M,16th August Shift 3,B,Geometry,Congruence and Similarity of Triangles
"The following Bar Graph represents the Production of Fertilizers by Company A and Company B (in 10000 tonne) Over the Years from 2005 to 2010. The X-axis represents the years, and the Y-axis represents the Production of Fertilizers (in 10000 tonne).
(Note: The data shown below is only for mathematical exercise. They do not represent the actual figures of the companies)
https://media-cdn.cracku.in/uploads/Screenshot_122_vcBy9kX.png                                                                                                                                                                        What is the average production (in 10000 tonne) of fertilizers in 2008, 2009 and 2010 of Company A?",600,570,590,620,2021,M,16th August Shift 3,B,Data Interpretation,Bar Graph
"If $$\sin \left(\frac{2A + B}{2}\right) = \cos \left(\frac{2A - B}{2}\right) = \frac{\sqrt{3}}{2}, 0^\circ < \frac{2A + B}{2} < 90^\circ$$ and $$0^\circ < \frac{2A + B}{2} < 90^\circ$$ then find the value of $$\sin[3(A - B)]$$.",$$\frac{\sqrt{3}}{2}$$,$$\frac{1}{\sqrt{2}}$$,$$\frac{1}{2}$$,1,2021,E,16th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"The given bar graph shows the imports and exports (in crore 2) of steel for 5 years from 2014 to 2018.
https://media-cdn.cracku.in/uploads/Screenshot_123_i9EaiGT.png                                                                                                                                                                      What is the ratio of average export to average import over the five years?",247:109,247:218,109:247,218:247,2021,E,16th August Shift 3,B,Data Interpretation,Bar Graph
"In a circle with centre O, AB and CDare twoparallel chords on the sameside of the diameter. If AB = 12 cm, CD = 18 cm and distance between the chords AB and CD is 3 cm, then find the radius of the circle (in cm).",12,$$3\sqrt{13}$$,15,9,2021,E,16th August Shift 3,B,Geometry,"Circles,Chords & Tangents"
"If $$x^2 + 4y^2 = 53$$ and $$x - 2y = 5$$, then what is the value of $$x^3 - 8y^3$$?",155,335,-85,85,2021,E,16th August Shift 3,B,Algebra,Identities
The value of $$4(\sin^4 30^\circ + \cos^4 30^\circ) - 3(\sin^2 45^\circ - 2 \cos^2 45^\circ)$$ is:,0,4,2,1,2021,E,16th August Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
"Fourth proportion to 12, 18, and 6 is same as the third proportion to k and 6. What is the value of k?",$$3\sqrt{6}$$,4,13.5,3,2021,E,16th August Shift 3,B,Arithmetic,Ratio & Proportion
"If $$4x^4 - 37x^2 + 9 =0, x > \sqrt{\frac{3}{2}}$$, then what is the value of $$8x^3 - \frac{27}{x^3}$$?",35,215,-215,-35,2021,E,16th August Shift 2,B,Algebra,Identities
"If $$a - \frac{12}{a} = 1$$, where a > 0, then the value of $$a^2 + \frac{16}{a^2}$$ is:",15,17,19,11,2021,E,16th August Shift 2,B,Algebra,Identities
A train leaves station A at 8 am and reaches station B at 12 noon. A car leaves station B at 8:30 am and reaches station A at the same time when the train reaches station B. At what time do they meet?,10:22 AM,10:08 AM,9:38 AM,9:52 AM,2021,E,16th August Shift 2,B,Arithmetic,Problem on Trains
"Chamanial, Arshad and Jagjit Singh contested an election. All the votes polled were valid. Arshad got 35% of the total votes. For every 35 votes Chamanilal got 14 votes. The winner got 4950 more votes than the person who received the least number of votes. Find the total number of votes polled.",99000,33000,13378,38000,2021,M,16th August Shift 2,B,Arithmetic,Profit & Loss
"Three shopkeepers A, B and C marked an identical article at ₹4820. A, B and C sold their article on successive discounts of 20% and 20%; 25% and 15%; 30% and 10% respectively. Which shopkeeper gives the maximum discount and how much (in Rs)?","C, 1780","C, 1783.40","B, 1800","A, 1735.20",2021,M,16th August Shift 2,B,Arithmetic,Discount
"If $$(16\sqrt{2}x^3 + 81\sqrt{3}y^3) \div (2\sqrt{2}x + 3\sqrt{3}y) = Ax^2 + By^2 + Cxy$$, then find the value of $$2A - 3B - 2\sqrt{6} C$$.",25,7,137,79,2021,E,16th August Shift 2,B,Algebra,Identities
"If $$2x^2 - 8x - 1 = 0$$, then what is the value of $$8x^3 - \frac{1}{x^3}?$$",560,540,524,464,2021,E,13th August Shift 3,A,Algebra,Identities
The area of a circular park is 12474 m$$^2$$ . There is 3.5 m wide path around the park. What is the area (in m$$^2$$) of the path?(Take $$\pi = \frac{22}{7}$$),1424.5,1435.5,1380.5,1440.5,2021,M,13th August Shift 3,A,Mensuration,Plane Figures
"In $$\triangle$$ABC, $$\angle$$C = 90$$^\circ$$ and Q is the midpoint of BC. If AB = 10 cm and AC = $$2\sqrt{10}$$ cm, then the length of AQ is:",$$\sqrt{55}$$ cm,$$5\sqrt{3}$$ cm,$$5\sqrt{2}$$ cm,$$3\sqrt{5}$$ cm,2021,E,13th August Shift 3,A,Mensuration,Plane Figures
The cost price of an article is ₹280. A shopkeeper sells it by allowing 16% discount on its marked price and still gains 20%. What is the marked price(in ₹) of the article?,400,360,420,350,2021,M,13th August Shift 3,A,Arithmetic,Discount
The average of eleven numbers is 56. The average of first three numbers is 52 and that of next five numbers is 60. The 9th and 10th number are 3 and 1 more than the 11th number respectively. What is the average of 9th and 11th numbers?,53.5,52,52.5,54,2021,E,13th August Shift 3,A,Arithmetic,Average
The radii of two concentric circles are 12 cm and 13 cm. AB is a diameter of the bigger circle. BD is a tangent to a smaller circle touchingit at D. Find the length (in cm) of AD? (correct to one decimal place),24.5,23.5,25.5,17.6,2021,E,13th August Shift 3,A,Geometry,"Circles,Chords & Tangents"
A trader bought 640 kg of rice. He sold a part of rice at 20% profit and the rest at 5% loss. He earned a profit of 15% in the entire transaction. What is the quantity (in kg) of rice that he sold at 5% loss?,128,132,154,256,2021,M,13th August Shift 3,A,Arithmetic,Profit & Loss
The value of $$\frac{\tan(45^\circ - \alpha)}{\cot(45^\circ + \alpha)} - \frac{(\cos 19^\circ + \sin 71^\circ)(\sec 19^\circ + cosec 71^\circ)}{\tan 12^\circ \tan 24^\circ \tan 66^\circ \tan 78^\circ}$$ is:,-3,0,-2,2,2021,M,13th August Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
